id,gender_x,masterCategory_x,subCategory_x,articleType_x,baseColour_x,season_x,year_x,usage_x,productDisplayName_x,Unnamed: 0,gender_y,masterCategory_y,subCategory_y,articleType_y,baseColour_y,season_y,year_y,usage_y,productDisplayName_y,price,url
8117,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men New Analog Black Navy Watch,343,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men New Analog Black Navy Watch,660.95,http://assets.myntassets.com/v1/images/style/properties/971d32f5f437a3e65d852648dd6bbdad_images.jpg
58170,Women,Accessories,Bags,Clutches,Red,Fall,2012,Casual,Rocky S Women Red Clutch,351,Women,Accessories,Bags,Clutches,Red,Fall,2012,Casual,Rocky S Women Red Clutch,1879.49,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Red-Clutch_6ef925fd1ad1ad8201c607dd14dd5ade_images.jpg
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Helix Women Silver Dial Watch,354,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Helix Women Silver Dial Watch,1780,http://assets.myntassets.com/v1/images/style/properties/Helix-Women-Silver-Dial-Watch_43fa66002d9a709539eb6ff7ed9384ce_images.jpg
41439,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012,Sports,Lee Cooper Men Black Sports Shoes,399,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012,Sports,Lee Cooper Men Black Sports Shoes,29.85,http://assets.myntassets.com/v1/images/style/properties/09edfdb4c1dc1478ea35507b0bdc41ce_images.jpg
42248,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top,429,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top,1595.99,http://assets.myntassets.com/v1/images/style/properties/e0da05b38a2fe03cace0a8fbddc65006_images.jpg
48772,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013,Casual,Lucera Women Silver Pendant,430,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013,Casual,Lucera Women Silver Pendant,2235.95,http://assets.myntassets.com/v1/images/style/properties/33c356143683cffa7582fc7fa85d640f_images.jpg
15379,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Fila Men Lobato Black Casual Shoes,454,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Fila Men Lobato Black Casual Shoes,2665.95,http://assets.myntassets.com/v1/images/style/properties/593368a3e9649a12de803e50fa2ed17a_images.jpg
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Ride It Or Die T-shirt,465,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Ride It Or Die T-shirt,1350.75,http://assets.myntassets.com/v1/images/style/properties/2e95da933ac14a9c46b2629146a5ad51_images.jpg
19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,2016,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt,476,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,2016,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt,884.95,http://assets.myntassets.com/v1/images/style/properties/4dcc3b32e48ebb49502a3384edff6ccf_images.jpg
27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012,Casual,Scullers Men Beige Trousers,501,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012,Casual,Scullers Men Beige Trousers,1394.25,http://assets.myntassets.com/v1/images/style/properties/40b830e01b25eee921ea6c1ba16f1629_images.jpg
20603,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Baggit Women Selection Mayur Black Sling Bag,521,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Baggit Women Selection Mayur Black Sling Bag,258.75,http://assets.myntassets.com/v1/images/style/properties/9598b35f6e2de51542d2c2ef9110f86b_images.jpg
47153,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Capris,581,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Capris,238.99,http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg
26164,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Striped Grey Trousers,593,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Striped Grey Trousers,1069.5,http://assets.myntassets.com/v1/images/style/properties/5b8f4d8f89d556b20cdba75bad71a23e_images.jpg
23624,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls White I love Shopping Top,621,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls White I love Shopping Top,1112.5,http://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg
47361,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Baggit Women Black Voodoo Gang Handbag,624,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Baggit Women Black Voodoo Gang Handbag,1792.25,http://assets.myntassets.com/v1/images/style/properties/967bf381f8fa631bae7830f11c6f3aaa_images.jpg
7194,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Jealous 21 Women's BFF Printed White Top,625,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Jealous 21 Women's BFF Printed White Top,1579.49,http://assets.myntassets.com/v1/images/style/properties/2302abf56311dd985dd4f2227f3159e5_images.jpg
44180,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women Spicy Love Perfume 150 ml,640,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women Spicy Love Perfume 150 ml,1217.9,http://assets.myntassets.com/v1/images/style/properties/d2a8d3e7f53e9eb31a35f84f100b5def_images.jpg
51660,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fossil Men Black Dial Watch AM4384,647,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fossil Men Black Dial Watch AM4384,83.85,http://assets.myntassets.com/assets/images/51660/2016/5/20/11463745871517-Fossil-Men-Black-Dial-Watch-AM4384-9531463745871355-1.jpg
38608,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Nike Men Grey T-shirt,672,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Nike Men Grey T-shirt,2329,http://assets.myntassets.com/v1/images/style/properties/bb16165bfc63aacfc18bd93325220359_images.jpg
36792,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Attivo Watch,681,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Attivo Watch,2785.5,http://assets.myntassets.com/v1/images/style/properties/9d0dd0e253b33b263398d4bf0e13b4af_images.jpg
5068,Men,Accessories,Watches,Watches,Blue,Winter,2016,Casual,Being Human Men Grey Dial Blue Strap Watch,702,Men,Accessories,Watches,Watches,Blue,Winter,2016,Casual,Being Human Men Grey Dial Blue Strap Watch,386.99,http://assets.myntassets.com/v1/images/style/properties/015d474f1a5f2759e4cff6b78ef7bb2d_images.jpg
40985,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys United White T-shirt,725,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys United White T-shirt,1776.95,http://assets.myntassets.com/v1/images/style/properties/9ba6a4c84ec057a0ccd9a1a559b16531_images.jpg
7169,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Scul Navy Blue Shirt,729,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Scul Navy Blue Shirt,1324.25,http://assets.myntassets.com/v1/images/style/properties/b70d4b2a4a1aab207368a75db5327917_images.jpg
8121,Men,Accessories,Belts,Belts,Brown,Winter,2016,Casual,Fastrack Men Brown Belt,734,Men,Accessories,Belts,Belts,Brown,Winter,2016,Casual,Fastrack Men Brown Belt,170,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-White-Stiches-Brown-Belts_d65df135bf78b95f729f5e0b4868bd3d_images.jpg
18696,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Hanes Men Black Ultimate Duo Dry Cotton Stretch Bikini Briefs,748,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Hanes Men Black Ultimate Duo Dry Cotton Stretch Bikini Briefs,1574.49,http://assets.myntassets.com/v1/images/style/properties/26cb109d81f58b1d89bd221d7111f4cf_images.jpg
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear,800,Men,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear,1549.95,http://assets.myntassets.com/v1/images/style/properties/1444d5d46afd24d8b02cfa41cc402b50_images.jpg
59404,Women,Apparel,Topwear,Tops,Blue,Fall,2012,Casual,Tokyo Talkies Women Blue Top,811,Women,Apparel,Topwear,Tops,Blue,Fall,2012,Casual,Tokyo Talkies Women Blue Top,325.49,http://assets.myntassets.com/v1/images/style/properties/Tokyo-Talkies-Women-Blue-Top_27a7cfa009105155b58792318967328c_images.jpg
16733,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Lotto Men Earth Black Slipper,839,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Lotto Men Earth Black Slipper,2878.95,http://assets.myntassets.com/v1/images/style/properties/c409e1086cf84af1e6f56d7899e762f8_images.jpg
47191,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Franco Leone Men Black Formal Shoes,842,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Franco Leone Men Black Formal Shoes,990,http://assets.myntassets.com/v1/images/style/properties/81cf8c19e59aa21dd516d55a44f49a35_images.jpg
35783,Women,Footwear,Shoes,Heels,Turquoise Blue,Summer,2012,Casual,Enroute Women Turquoise Blue Flats,853,Women,Footwear,Shoes,Heels,Turquoise Blue,Summer,2012,Casual,Enroute Women Turquoise Blue Flats,252,http://assets.myntassets.com/v1/images/style/properties/4a41f184d3e88f812dc257f20d9e4846_images.jpg
20063,Women,Accessories,Mufflers,Mufflers,Black,Fall,2011,Casual,United Colors Of Benetton Women Black Muffler,873,Women,Accessories,Mufflers,Mufflers,Black,Fall,2011,Casual,United Colors Of Benetton Women Black Muffler,2886.9,http://assets.myntassets.com/v1/images/style/properties/ced627e0f9bf6a7499a80f9bb4d6957b_images.jpg
19911,Unisex,Accessories,Bags,Messenger Bag,Grey,Winter,2015,Casual,Wildcraft Unisex Grey Printed Messenger Bag,884,Unisex,Accessories,Bags,Messenger Bag,Grey,Winter,2015,Casual,Wildcraft Unisex Grey Printed Messenger Bag,2169.5,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Outdoor-Jinx-Grey-Bag_4676a6bac7ccdde9216aa50c23cc4295_images.jpg
43367,Women,Footwear,Shoes,Flats,Black,Summer,2012,Casual,Reebok Women Black Casual Shoes,890,Women,Footwear,Shoes,Flats,Black,Summer,2012,Casual,Reebok Women Black Casual Shoes,630.85,http://assets.myntassets.com/v1/images/style/properties/a15c48c3e83270df6c47a1f3bc40481b_images.jpg
27622,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Casual,Scullers Men Grey Trousers,892,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Casual,Scullers Men Grey Trousers,1936.9,http://assets.myntassets.com/v1/images/style/properties/79ab8e426bec027b33c9e2ccac1096f1_images.jpg
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015,Casual,Clarks Women Brown Leather Heels,898,Women,Footwear,Shoes,Heels,Brown,Summer,2015,Casual,Clarks Women Brown Leather Heels,2107,http://assets.myntassets.com/v1/images/style/properties/Clarks-Women-Dolphin-Splash-Leather-Silver-Sandals_e55a6fa02cca3f6b6f3fa750619911d4_images.jpg
43155,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Women Black Dial Watch,926,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Women Black Dial Watch,195.99,http://assets.myntassets.com/v1/images/style/properties/ff21386b92beb15aa045f876229a93ca_images.jpg
15714,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Nike Men Free Run+ 2 Black Sports Shoes,949,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Nike Men Free Run+ 2 Black Sports Shoes,1567.99,http://assets.myntassets.com/v1/images/style/properties/45e5d30d4486c3569cb89dab80ed0c66_images.jpg
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Reid & Taylor Men White Shirt,1000,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Reid & Taylor Men White Shirt,2688.75,http://assets.myntassets.com/v1/images/style/properties/Reid---Taylor-Men-White-Shirt_7868945b6d3a95140b08b1719b0092f1_images.jpg
4727,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,1033,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,624.49,http://assets.myntassets.com/v1/images/style/properties/0e06cb945b450950e57486e8aba7983e_images.jpg
45400,Women,Footwear,Shoes,Flats,Maroon,Winter,2012,Casual,Rocia Women Maroon Sandals,1034,Women,Footwear,Shoes,Flats,Maroon,Winter,2012,Casual,Rocia Women Maroon Sandals,898.9,http://assets.myntassets.com/v1/images/style/properties/40fe64867f1f024c161b7f99ec89492f_images.jpg
29546,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Classic Polo Men Black T-shirt,1053,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Classic Polo Men Black T-shirt,1244,http://assets.myntassets.com/v1/images/style/properties/5ad3719c0803e65fdedded0f5570d652_images.jpg
39344,Men,Apparel,Topwear,Tshirts,Green,Fall,2012,Casual,Mr. Men Green T-shirt,1114,Men,Apparel,Topwear,Tshirts,Green,Fall,2012,Casual,Mr. Men Green T-shirt,1657.85,http://assets.myntassets.com/v1/images/style/properties/Mr-Men-Men-Green-T-shirt_51c5b37476b4f9996fc5155968976955_images.jpg
40982,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys Core White T-shirt,1121,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys Core White T-shirt,1489.9,http://assets.myntassets.com/v1/images/style/properties/2d9821d0bebe8b01d0ffa8a1a2a6532a_images.jpg
52823,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Green Earrings,1139,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Green Earrings,74.25,http://assets.myntassets.com/v1/images/style/properties/Adrika-Green-Earrings_e3f99442c782f10de41d72c6a5a193b8_images.jpg
42883,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,French Connection Women Black Sling Bag,1162,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,French Connection Women Black Sling Bag,1287.9,http://assets.myntassets.com/v1/images/style/properties/23d345b573b95f6cd311d09ac3fdb462_images.jpg
27428,Women,Apparel,Topwear,Tshirts,Black,Fall,2015,Casual,Jockey Women Black V-neck T-Shirt,1165,Women,Apparel,Topwear,Tshirts,Black,Fall,2015,Casual,Jockey Women Black V-neck T-Shirt,2710.49,http://assets.myntassets.com/v1/images/style/properties/f4f1be177d017ef741aefbb48925e4b7_images.jpg
14438,Women,Footwear,Shoes,Heels,Yellow,Summer,2012,Casual,Enroute Women Casual Yellow Heels,1175,Women,Footwear,Shoes,Heels,Yellow,Summer,2012,Casual,Enroute Women Casual Yellow Heels,1184.99,http://assets.myntassets.com/v1/images/style/properties/169f5d5f1c94f6ae8b51fe18e30cd86d_images.jpg
12152,Women,Apparel,Topwear,Kurtis,Purple,Fall,2011,Ethnic,Aurelia Women Printed Purple Kurti,1183,Women,Apparel,Topwear,Kurtis,Purple,Fall,2011,Ethnic,Aurelia Women Printed Purple Kurti,2725.75,http://assets.myntassets.com/v1/images/style/properties/9eaacd0aa86017881bd848e3d4a69294_images.jpg
47162,Men,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Peter England Men Brown Belt,1219,Men,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Peter England Men Brown Belt,1835.9,http://assets.myntassets.com/v1/images/style/properties/7f8d66409996e8eba33caf86e463463b_images.jpg
24054,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Locomotive Men Printed Blue T-shirt,1276,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Locomotive Men Printed Blue T-shirt,2262.5,http://assets.myntassets.com/v1/images/style/properties/492e209292dd6cadd3527ad8332ff41b_images.jpg
21526,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Kiara Women Glossy Red Handbag,1278,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Kiara Women Glossy Red Handbag,2426.95,http://assets.myntassets.com/v1/images/style/properties/d1e32f6091a54eac3da0653d10129f54_images.jpg
24868,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Reid & Taylor Men Casual Black Wallet,1282,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Reid & Taylor Men Casual Black Wallet,198.75,http://assets.myntassets.com/v1/images/style/properties/a92d059d10d1f6eae4151508f4609571_images.jpg
37685,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,1291,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,2705.95,http://assets.myntassets.com/v1/images/style/properties/ea72b88711b0fe676bf96c4d4d1fbd43_images.jpg
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016,Casual,Clarks Men Brown Leather Casual Shoes,1331,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016,Casual,Clarks Men Brown Leather Casual Shoes,2398.75,http://assets.myntassets.com/v1/images/style/properties/83cd6db4f547e2ec582714b3592ba718_images.jpg
36333,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,Playboy Men White & Red Socks,1377,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,Playboy Men White & Red Socks,714.95,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-White---Red-Socks_9ac190b316bb511b9d5e7434ff634a7a_images.jpg
43536,Women,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,French Connection Women Peach Top,1388,Women,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,French Connection Women Peach Top,1438.49,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-Multi-Coloured-Top_010cd6898ca04d62922cd2dc6903fc9a_images.jpg
47136,Women,Accessories,Bags,Handbags,Blue,Summer,2015,Casual,Be For Bag Women Blue Tote Bag,1402,Women,Accessories,Bags,Handbags,Blue,Summer,2015,Casual,Be For Bag Women Blue Tote Bag,579.9,http://assets.myntassets.com/v1/images/style/properties/e7181e557cce35621c81d6c5f431eb8e_images.jpg
57196,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic,1430,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic,1740.9,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Red-Tunic_877de2d4758c8b998a61cebb8c5b3b38_images.jpg
47304,Women,Accessories,Bags,Clutches,Green,Summer,2012,Casual,Baggit Women Green purse,1444,Women,Accessories,Bags,Clutches,Green,Summer,2012,Casual,Baggit Women Green purse,2961.25,http://assets.myntassets.com/v1/images/style/properties/53e165d30f51bea80191cab4bb4e645f_images.jpg
17222,Men,Accessories,Eyewear,Sunglasses,Blue,Winter,2016,Casual,United Colors of Benetton Men Funky Eyewear Blue Sunglasses,1484,Men,Accessories,Eyewear,Sunglasses,Blue,Winter,2016,Casual,United Colors of Benetton Men Funky Eyewear Blue Sunglasses,197.99,http://assets.myntassets.com/v1/images/style/properties/992f7ef18931d095078c574a706dfdcc_images.jpg
46480,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Timex Women Steel Watch,1487,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Timex Women Steel Watch,395.49,http://assets.myntassets.com/v1/images/style/properties/Timex-Women-Steel-Watch_37df5ea4d58964e9bdb8e8c578194b16_images.jpg
