,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price
24501,54320,Women,Apparel,Innerwear,Briefs,Pink,Summer,2017.0,Casual,Garfield Women Pink String Briefs,39.85
31326,13301,Men,Apparel,Bottomwear,Shorts,Beige,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Beige Shorts,2040.99
43885,37099,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Wills Lifetsyle Men Green Polo T-shirt,1284.99
5354,17223,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Women Funky Eyewear Black Sunglasses,745.0
38812,34507,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Franco Leone Men Brown Formal Shoes,2896.5
38629,18998,Unisex,Accessories,Scarves,Scarves,Black,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Scarf,150.0
17832,9425,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,John Miller Men Purple Fila-Fil Shirts,2921.95
35991,17746,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Excitmo I FG White Sports Shoe,576.99
28794,7822,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Puma Women Corsica Mid L Shine Grey Shoe,543.75
38721,40029,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Chelsea FC T-shirt,961.85
9100,20946,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,ADIDAS Men Checks Blue Flip Flops,2496.5
17317,13460,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,United Colors of Benetton Men Solid Green Shirts,629.0
30250,42996,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Women White Air Total Sports Shoes,100.9
32386,22881,Men,Footwear,Sandal,Sports Sandals,Khaki,Winter,2015.0,Casual,Woodland Men Khaki Sports Sandals,1353.95
21373,54134,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Rocia Women Brown Heels,2209.85
231,4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Puma Men's YugoRun Black White Shoe,1955.95
18326,58702,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,ALayna Women Multi Coloured Kurta,2902.99
21886,34484,Women,Apparel,Topwear,Tops,Brown,Summer,2012.0,Casual,Van Heusen Woman Brown Top,2460.75
4091,30463,Women,Apparel,Innerwear,Bra,Pink,Summer,2014.0,Casual,Lovable Women All Day Long Pink Bra,821.95
34481,32007,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Playboy Men Black and Blue Socks,637.49
29076,54865,Women,Accessories,Jewellery,Necklace and Chains,Red,Fall,2012.0,Casual,Ivory Tag  Red & Gold Toned Eye Catcher Necklace,89.9
40896,19962,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Check Grey Sweater,1463.85
33907,37776,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,John Players Men Yellow & White Striped Shirt,2037.0
20076,45216,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,CASIO Enticer Women White Dial Analogue Watch,368.99
40644,10682,Men,Apparel,Topwear,Tshirts,Tan,Fall,2011.0,Casual,United Colors of Benetton Men Printed Tan T-shirt,2289.99
21401,15736,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Sweet Classic high White Casual Shoes,2207.5
40578,34241,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Proline Men Black T-shirt with Printed Detail,950.25
37428,20368,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Blue Check Shirt,1392.95
9722,57878,Women,Personal Care,Skin Care,Mask and Peel,Beige,Spring,2017.0,Casual,Biotique Bio Peach Clarifying & Refining Peel-Off Mask,2774.85
31959,12079,Women,Apparel,Topwear,Kurtas,Yellow,Fall,2011.0,Ethnic,W Women Printed Yellow Kurtas,1722.5
43474,8191,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2011.0,Casual,Locomotive Men Solid Poplin Lam Navy Blue Shirts,809.95
19487,42837,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,French Connection Women Black Kite Handbag,1443.95
36677,51934,Women,Accessories,Bags,Handbags,Yellow,Summer,2016.0,Casual,Nyk Women Yellow Arsenal Handbag,1038.75
35778,24107,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,2012.0,Casual,Playboy Men Red Flip Flops,1906.5
11056,18721,Women,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Arrow Women Deerie Pink Top,1404.99
39544,58533,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Miami Blues Unisex Sunglasses,152.95
17047,20689,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2011.0,Casual,Buckaroo Men Mirar Brown Casual Shoes,612.99
25442,23211,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Aneri Women Lily Green Kurta,2060.99
11841,23917,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Fila Women Paramount White Casual Shoes,2085.9
31579,52990,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,2760.99
35833,52983,Women,Apparel,Saree,Sarees,Maroon,Fall,2012.0,Ethnic,FNF Striped Multi Coloured Sari,725.5
10091,15202,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Arrow Sport Men Solid Blue Polo Tshirts,629.49
6322,14976,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,New Hide Men Solid Black Belts,1918.75
33061,38186,Women,Accessories,Eyewear,Sunglasses,Silver,Winter,2016.0,Casual,Miami Blues Women Sunglasses,1427.85
28005,8403,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,ADIDAS Men M Rsp Tee Blue T-Shirts,2651.75
4580,20490,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Baggit Women Knotty Taj Brown Handbag,2303.25
20494,59223,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,338.95
42052,51442,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Myntra Women White Top,419.99
3025,51006,Women,Apparel,Innerwear,Bra,Brown,Summer,2017.0,Casual,Enamor Brown Bra,1806.5
9661,59728,Women,Apparel,Innerwear,Bra,Pink,Summer,2014.0,Casual,Avirate Pink Bra,2721.99
26164,50342,Women,Apparel,Topwear,Kurtis,Purple,Summer,2012.0,Ethnic,Aurelia Women Purple Printed Kurti,2299.9
6308,8202,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Locomotive Men Landon Grey T-Shirts,941.95
25880,3305,Men,Footwear,Shoes,Sports Shoes,Grey,Spring,2011.0,Sports,Asics Men's Gel Nimbus 12 Grey Orange Shoe,1003.75
31425,23752,Unisex,Accessories,Eyewear,Sunglasses,Pink,Winter,2016.0,Casual,Ray-Ban Unisex High Street Pink Sunglasses,88.25
18094,33230,Unisex,Accessories,Bags,Laptop Bag,Brown,Summer,2012.0,Casual,New Hide Unisex Brown Leather Laptop Bag,677.85
37490,48470,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,French Connection Teal Dress,716.9
19489,52299,Men,Apparel,Innerwear,Boxers,Red,Summer,2016.0,Casual,Crusoe Men Red Printed Get Away Boxers R09,2154.0
38338,2578,Women,Apparel,Bottomwear,Capris,White,Summer,2011.0,Casual,Domyos Women White Capri,642.0
36974,40087,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black Polo T-Shirt,1485.75
24836,22505,Women,Footwear,Shoes,Casual Shoes,Grey,Winter,2015.0,Casual,Catwalk Women Dark Grey Casual Shoes,1418.25
27451,3951,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2011.0,Casual,Jealous 21 Women Navy Top With Pink Flower Top,1458.25
28689,12821,Women,Footwear,Shoes,Casual Shoes,Blue,Fall,2011.0,Casual,Puma Women Karlie Blur Wn's Dazzling Blue Casual Shoes,1127.85
20849,26721,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Fine Striped Black T-shirt,877.99
1331,10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016.0,Casual,Clarks Men Brown Leather Casual Shoes,2398.75
30000,7418,Women,Apparel,Topwear,Kurtas,Green,Summer,2011.0,Ethnic,W Women Mandarin Neck-Yarn Dyed Green Kurta,818.9
8305,19402,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,ADIDAS Men Printed Black Tshirt,2744.49
6400,25632,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Fastrack Women Pink Dial Watch,387.75
32121,51577,Men,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Fastrack Men Red Dial Watch,545.85
2531,13224,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,Palm Tree Kids Boys Printed Blue Sweatshirts,628.85
41558,6032,Women,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,UCB Women's Photographic Print Navy T-shirt,2136.99
43686,14676,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,Basics Men Brown Slim Fit Checked Shirt,936.95
30263,18784,Men,Accessories,Ties,Ties,Lavender,Summer,2011.0,Formal,Peter England Men Elite Lavender Tie,1659.0
42179,5415,Girls,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Ant Kids Girl's Red Little Heart Kidswear,792.49
13651,37585,Girls,Apparel,Topwear,Rompers,White,Summer,2012.0,Casual,Madagascar3 Infant Girls White Snapsuit Romper,1853.75
42992,20279,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Casual Beige Heels,2150.95
37260,58629,Women,Accessories,Jewellery,Bangle,Black,Winter,2016.0,Casual,ToniQ Women Black Bangles,1093.85
29198,10987,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Inkfruit Men Boyz Navy Blue Tshirts,632.75
34137,11878,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Franco Leone Men Formal Black Formal Shoes,2249.49
6020,59375,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Vishudh Women White Printed Kurta,1221.5
29858,41721,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Catwalk Women Brown Heels,1271.9
3776,32591,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,ONLY Women Pink Skirt,1696.5
6969,5585,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Barricade 6.0 White Grey Shoe,2487.0
29185,55319,Women,Personal Care,Skin Care,Sunscreen,White,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Suncare Daily Moisturising Lotion SPF 15,412.5
9398,7874,Men,Footwear,Shoes,Formal Shoes,Tan,Summer,2010.0,Formal,Provogue Men's Formal Tan Shoe,805.75
3425,37683,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,2247.75
1282,24868,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Reid & Taylor Men Casual Black Wallet,198.75
34974,40641,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Span Women Green Kurta,1010.49
39031,14086,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,Flying Machine Men Checks Grey Sweaters,2405.9
26037,51432,Women,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Myntra Women White Check Shirt,1342.85
1162,42883,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,French Connection Women Black Sling Bag,1287.9
39126,56491,Women,Personal Care,Nails,Nail Polish,Silver,Spring,2017.0,,Streetwear Quick Dry Silver Shimmy Nail Polish 15,2847.99
29384,49913,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Analog Watch,1198.49
33322,50231,Women,Accessories,Eyewear,Sunglasses,Lavender,Winter,2016.0,Casual,Stoln Women Lavender Sunglasses,2447.99
33518,25240,Women,Accessories,Bags,Handbags,Green,Winter,2012.0,Casual,Lino Perros Women Green Handbag,1739.75
36675,18755,Women,Apparel,Dress,Dresses,Blue,Fall,2011.0,Casual,Arrow Woman Kaya Blue Dress,2787.49
31152,53880,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2012.0,Casual,U.S. Polo Assn. Men Navy Blue Flip Flops,1607.85
12465,46584,Women,Footwear,Shoes,Heels,White,Summer,2012.0,Casual,Catwalk Women White Sandals,940.25
12063,33716,Women,Accessories,Bags,Handbags,Black,Winter,2012.0,Casual,Pieces Women Black Handbag,1796.25
18046,32342,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch,1788.49
42003,3178,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Women Dual Fusion White Pink Shoe,680.99
35086,8847,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Mark Taylor Men White Striped Shirt,1105.49
37063,29024,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Messi Navy Blue T-shirt,1391.9
34093,58873,Men,Accessories,Ties,Ties,Blue,Summer,2012.0,Casual,Hakashi Men Blue Tie,53.99
20050,22122,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2011.0,Formal,Provogue Men Black Formal Shoes,174.75
4273,10030,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Women As See The Win Black T-Shirts,2961.99
27362,57592,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lotus Herbals Moistpetals Lilac Delight Lipstick 147,1473.95
6394,21292,Women,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016.0,Casual,Celine Dion Women Metalic Frame Sunglasses,349.9
43508,7911,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Proline Men Grey & Yellow Striped Polo T-shirt,1287.75
30639,51515,Men,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Fastrack Men White Dial Watch,2490.95
15551,9557,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men Running Blue Tshirts,2171.99
5040,27677,Women,Accessories,Bags,Handbags,Blue,Winter,2015.0,Casual,Murcia Women Blue Handbag,1104.25
34720,13519,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,Spykar Men Stripes White Sweatshirts,2047.25
39534,49673,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass,2333.75
32255,57446,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Angry Birds Women Black T-shirt,54.85
11420,32433,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men White Polo T-shirt,1091.0
7576,26814,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Arrow Men Blue Striped Shirt,1950.5
18329,4994,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Fila Men's Barrier Black Silver Shoe,2499.49
7499,55378,Women,Personal Care,Nails,Nail Polish,Silver,Spring,2017.0,Casual,Revlon Lilac Mist Nail Polish 322,1586.85
35521,48610,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings,325.85
30295,26843,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Casual,Highlander Men Light Grey Trousers,1247.25
853,35783,Women,Footwear,Shoes,Heels,Turquoise Blue,Summer,2012.0,Casual,Enroute Women Turquoise Blue Flats,252.0
17777,41449,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Lee Cooper Men White Shoes,1962.25
28553,28379,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Idee Men Grey Sunglasses,2996.0
14969,37943,Women,Apparel,Topwear,Tunics,Beige,Summer,2012.0,Casual,Mineral Women Beige Tunic,920.95
23152,38203,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Polaroid Men Sunglasses,1979.0
11192,54874,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Ivory Tag Women Cluttered Aqua Cream and Green Necklace,1130.95
8565,14341,Women,Footwear,Flip Flops,Flip Flops,Green,Summer,2012.0,Casual,Nike Women Snapper Green Flip Flops,227.95
2269,15776,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Facit Men Trophy BF Blue Briefs,229.0
41428,44903,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Puma Men Blue Graphic T-shirt,2157.49
16381,6172,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Lee Men's Yellow Brass T-shirt,2796.85
39935,7388,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men's Black Formal Shoe,420.95
8765,34914,Women,Apparel,Topwear,Dupatta,Olive,Summer,2012.0,Ethnic,Fabindia Printed Olive Dupatta,818.0
20170,56896,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,HM Women Black Heels,2663.0
29434,6366,Unisex,Footwear,Sandal,Sandals,Brown,Summer,2011.0,Casual,Crocs Kids Unisex Basic Clog Khaki Floater,1457.99
16256,57837,Unisex,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Unisex Black Sling Bag,489.9
11474,18704,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Hanes Men Blue Ultimate Duo Dry Cotton Stretch Hip Briefs,291.85
39859,11956,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Ganuchi Men Casual Brown Casual Shoes,312.5
32823,58269,Women,Accessories,Bags,Handbags,Brown,Fall,2012.0,Casual,Baggit Women Brown Handbag,1272.5
10921,32849,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Grendha Women Roamance Brown Flats,1606.9
884,19911,Unisex,Accessories,Bags,Messenger Bag,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Printed Messenger Bag,2169.5
39447,30670,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Park Avenue Men Black Sunglasses,1252.99
5653,41379,Women,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,Wrangler Women Red Rosy Top,2717.75
39103,50554,Men,Apparel,Innerwear,Innerwear Vests,Grey Melange,Summer,2016.0,Casual,Chromozome Men Grey Melange Innerwear T-shirt,50.85
15853,14954,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Status Quo Men Printed Navy Blue Tshirts,822.49
42743,41043,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Nautica Men White Dial Chronograph Watch,1908.49
41000,24676,Women,Accessories,Bags,Handbags,Black,Winter,2016.0,Casual,Fastrack Women Black Trendy Handbag,49.9
2875,58988,Women,Personal Care,Fragrance,Deodorant,Green,Spring,2017.0,Casual,Cavallini Women Deo,2905.99
29712,15061,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Franco Leone Men Black Formal Shoe,2722.85
37498,17946,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,Puma Men South Africa  Navy Blue Track Pant,1933.95
30619,52390,Women,Apparel,Loungewear and Nightwear,Nightdress,Green,Winter,2015.0,Casual,Red Rose Women Green Nightdress,1202.85
3184,4973,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Kidswear,1467.99
37239,22256,Women,Footwear,Shoes,Flats,Red,Fall,2011.0,Casual,Inc. 5 Women Casual Red Sandals,791.49
32756,5982,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Blue Checked Shirt,1860.99
2360,29711,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Check Blue Shirt,136.85
42450,11196,Men,Accessories,Watches,Watches,Orange,Winter,2016.0,Casual,Carrera Men Strap dial Orange Watches,1372.85
42350,19762,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Ice Men Carbon Black Watch,2400.5
16823,33897,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Citizen Men Black Dial Watch,1038.85
28819,52157,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Femella Women Pink Summer Cape Top,525.5
13863,56921,Women,Footwear,Shoes,Heels,Blue,Winter,2012.0,Casual,HM Women Blue Sandals,2292.85
43376,12116,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011.0,Ethnic,Aurelia Women Solid Orange Kurtas,51.49
8413,59721,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Avirate Women Black Bra,547.0
18742,13865,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men Check Green Shirts,2615.9
17119,7922,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Proline Men Green & White Striped Polo T-shirt,2423.99
19761,7111,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015.0,Casual,Wildcraft Unisex Black Backpack,494.49
33363,10361,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,United Colors of Benetton Men Graphic Printed Purple Tshirts,2892.25
36532,30332,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Mere Pass Maal Hai Black T-shirt,295.5
7390,13552,Women,Footwear,Shoes,Flats,Yellow,Winter,2012.0,Casual,Carlton London Women Yellow Flat Shoes,2528.0
25200,34403,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Back To The 70s Black T-shirt,420.75
35936,41597,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Basics Men Navy Striped Shirt,397.75
26541,17041,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2012.0,Casual,Gas Men Skate 002 Casual Shoe,954.85
40475,18629,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Puma Women Graphic  White Tshirt,876.75
28515,40005,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Park Avenue Men Black Frame Sunglasses,1058.0
15074,23124,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Spring,2013.0,Casual,Converse Unisex Navy Blue Liv,1998.75
2740,17489,Women,Footwear,Shoes,Flats,Off White,Fall,2011.0,Casual,Rockport Women Beige Flats,2848.0
5003,7103,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,1331.9
10268,58696,Women,Apparel,Topwear,Kurtas,Mustard,Summer,2012.0,Ethnic,ALayna Women Mustard Kurta,2729.99
23787,58528,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Miami Blues Unisex Sunglasses,163.9
38464,50283,Men,Accessories,Ties,Ties,Purple,Summer,2012.0,Formal,Parx Men Purple Tie,2526.49
30517,3410,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Lazy White T-shirt,1994.9
42022,19791,Men,Apparel,Topwear,Tshirts,Yellow,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Yellow Tshirt,1918.99
16255,52579,Women,Accessories,Bags,Clutches,Beige,Summer,2012.0,Casual,Mod'acc Women Beige Clutch,86.49
19695,4304,Unisex,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Tantra Kid's Unisex Math Pink Kidswear,1009.75
42706,39737,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Arrow Men Black Sandals,748.9
39191,11993,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts,190.75
